,respondent,task,interval,time,company,purpose,detail,description,PQ1,ATT1,PQ2,HQ1,PQ3,HQ2,HQ3,ATT2,PQ4,HQ4,familiarity
382,28,5,5s,173.0,Mega Zoo,"Items for pets and animals, Similar to pets at home also a box of goodies for pets i think.",The mega Zoo logo i think,"It had a good design, plenty of room between content and easy to read, pictures in good locations at the center and two at each side on the bottom, i was able to quickly identify what was being sold as the page title and products i could see were clearly aimed towards pets and animals.",6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,7.0,6.0,False
383,28,6,5s,202.0,Tech Live,It provides news coverage for tech related stories,"I remember what looked like a big white battery on the right side, something like that.","It had a very cluttered look, kinda looked like a bunch of adverts rather than news in the way it fills the page and leaves little room for much else. It had a white and red design i believe and had a small top title which reduces the chance a visitor would remember the name of the site. It was filled with too much content to be able to read quickly and therfore was a bit of a turn off for any visitor to the page.",2.0,2.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,3.0,False
384,29,1,5s,118.0,Whistles,sell,Hedgehog,"White and neutral colours. Mens, womens and children's clothing. No diversity in models.",7.0,5.0,6.0,4.0,6.0,4.0,3.0,5.0,6.0,2.0,False
385,29,2,5s,134.0,I-Care,Sell,Unsure - 2 or 3," white background, with blue text. minimal text on the page, picture of a caucasian family going on holiday.",6.0,5.0,6.0,5.0,6.0,4.0,5.0,5.0,5.0,3.0,False
386,29,3,5s,97.0,Highwear Collection,Sell,can't recall,"Footwear, running, sports. Definitely outside gear. Had a tiger on it, I think. Blue and white",4.0,5.0,6.0,4.0,5.0,5.0,6.0,5.0,7.0,5.0,False
387,29,4,5s,107.0,Weathery,Provide,Unsure,Blue and white branding with a map in the centre of the page and daily weather updates yunderneath,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,False
388,29,5,5s,112.0,Mega Zoo,Provide,Bones,"Yellow and red, different animals on the top. Search bar, and then products underneath",6.0,5.0,6.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,False
389,29,6,5s,108.0,tech live,unsure,unsure,So text heavy its overwhelming. A few articles with photos as the main stories and then on the side it looked like smaller articles,3.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,False
390,30,1,5s,134.0,Whistles,Clothes,Giraffe or something black and white I think ,Very Simple. The visuals made it super easy to know where the corresponding collections could be accessed,6.0,3.0,5.0,4.0,6.0,2.0,2.0,4.0,4.0,2.0,False
391,30,2,5s,110.0,Can't recall,Travel,I believe one female for sure,I think I saw the family/child sitting laying with sunglasses.,4.0,4.0,6.0,4.0,6.0,4.0,4.0,3.0,5.0,3.0,False
392,30,3,5s,100.0,Hill Sport,Outdoor stuff,Athletic wear offer.,Big monochrome cheetah which was serving no purpose to the website. Not even aesthetically.,3.0,4.0,4.0,2.0,4.0,4.0,2.0,5.0,2.0,5.0,False
393,30,4,5s,102.0,Weathery ,Forecast,The next day,It was a very 2000s vibey weather website. Looked bland but use wise did the job.,6.0,4.0,5.0,4.0,5.0,2.0,4.0,4.0,4.0,2.0,False
394,30,5,5s,98.0,Repti Zoo,Bio Sand,Animal,Someone was holding a box with the logo on it. I am not sure what the website is for.,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,False
395,30,6,5s,100.0,Tech Live,Tech news,The photo of solar panels with the headline;,The photo of the girl looking at her phone caught my attention. There was too much text.,2.0,2.0,2.0,2.0,4.0,4.0,1.0,3.0,4.0,2.0,False
396,31,1,5s,94.0,Whistles,Clothing,Don't know,"Children in clothing, the colours yellow and blue",3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,False
397,31,2,5s,89.0,i care,holiday items - sunglasses etc,2,"Pictures of people on holiday, a beach, a lady in sunglasses",3.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,False
398,31,3,5s,111.0,Hillsport,Outdoor clothing and apparel,Don't know,"Large picture of a leopard, people running on hilltops",6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,False
399,31,4,5s,76.0,Weathery,Weather articles and forecasts,Don't know,Weather icons and forecast information.,2.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,False
400,31,5,5s,79.0,mega zoo,pet supples,Don't know,"Pictures of animals, animal icons",4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,False
401,31,6,5s,92.0,Tech Live,tech news,white building,"News items about tech, a picture of coins, a news item about batteries, a girl looking at her phone",3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,False
402,32,1,5s,250.0,Whistles,Clothing,A giraffe? I remember seeing yellow.,"Lots of pastel colours on a white background. I remember a light purple at the top of the screen and in various other places lower down. There was a large picture of a little girl in yellow at the top right. There was a picture of a bearded man in light blue(?) towards the bottom left, a woman in yellow in the bottom centre, and a little boy on the bottom right (not sure what colour he was in). I'm guessing these pictures were links to other pages as there were various words either on or under the photos such as men, women, etc.",6.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,False
403,32,2,5s,190.0,i care,It looked like an opticians,2?,"I remember a lot of blue on a white background. Lots of photos of people with smiling faces. My immediate thought was 'holiday website', due to the picture in the centre of the family on the beach and a mention of holidays. I then saw it mentioned contact lenses (I believe there was a picture of a lady putting a contact in her eye), which led me to believe that it was an optician's website, or at least someone who sells glasses/contacts.",5.0,6.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,False
404,32,3,5s,256.0,Hillsport,It looked like activewear.,I don't recall.,"The first thing that jumped out at me was the snow leopard in the centre of the screen. At first I thought it may have been an animal charity website, until I saw the picture of people walking through snow next to it and the website name. Overall, the site looked like a standard clothing website. Beneath the red text of the website name at the top of the page was a blue menu bar going horizontal across the screen. The aforementioned pictures were beneath that. There were smaller pictures below them, but I didn't really pay attention to them. My attention kept getting pulled back to the snow leopard.",6.0,6.0,6.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,False
405,32,4,5s,186.0,Weathery,Weather information,Thursday?,"Everything was very blue with a white background. It had the website title at the top left in blue lettering. Beneath that was a map of somewhere divided into different areas with different weather symbols (particularly clouds) over each area. Beneath the map was a seven day forecast bar. To the right of the screen there was text, perhaps a menu column.",6.0,4.0,6.0,4.0,6.0,4.0,2.0,5.0,5.0,3.0,False
406,32,5,5s,158.0,Mega Zoo,Pet products,Not sure.,"It took a moment for me to figure out what the site was selling. I remember a lot of yellow and some small pictures of what looked like pet products (not sure exactly what, just that they were brown - maybe rodent houses?). I don't remember a great deal else.",3.0,2.0,3.0,3.0,5.0,2.0,3.0,2.0,3.0,2.0,False
407,32,6,5s,159.0,Tech Live,Technology news?,I don't recall.,I didn't really look at any of the pictures as I was distracted by the huge amount of text on the screen. I assume from the name of the site and the amount of text that it's a news website. I remember seeing the words 'cancer' and 'government' but not much else.,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,False
408,33,1,5s,103.0,Whistles,Sustainable clothing,Not sure,Page was basic but in a good way. A clear statement of what they sell and their mission of being sustainable,7.0,7.0,7.0,4.0,6.0,4.0,3.0,6.0,7.0,4.0,False
409,33,2,5s,124.0,I-care,Eyewear,2,Family on what looked like a beach which made me think it was a holiday company at first because seeing the name/products. Simply laid out with the main banner and then sub sections below. Very plain with use of white and blue,5.0,3.0,5.0,5.0,5.0,3.0,5.0,4.0,6.0,4.0,False
410,33,3,5s,117.0,Hillsport,sportswear,snow leopard ,Large cover photo of the snow leopard and people running or hiking. Advertising the new collection. Sub banners below for other clothes or shop sections,6.0,7.0,4.0,6.0,1.0,5.0,7.0,5.0,4.0,6.0,False
411,33,4,5s,150.0,Weathery,Provides weather reports,Thursday,I saw a daily forecast of somewhere with blue images to indicate clouds and rain. I think it had new articles down the right hand side and then below was a weekly forecast for the area,3.0,2.0,6.0,3.0,4.0,2.0,2.0,2.0,5.0,2.0,False
412,33,5,5s,162.0,MegaZoo,Garden and animal products i think,Dog bones,"Its a website for people to buy thats for sure, and i think there was a banner for different animals. It was very bright an enticing and had products at the bottom. The large banner used red on yellow to stand out which drew my attention",5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,False
413,33,6,5s,144.0,Tech live,News site,Looked like solar or some form of solar energy,"Very basic and informative, clearly targeted for news and perhaps investors. Mains news articles in the centre and other sub articles either side",5.0,3.0,7.0,4.0,6.0,4.0,2.0,5.0,7.0,2.0,False
414,34,1,5s,96.0,Whistles,Sustainable fashion,I have no idea.,"I saw pictures of two adults and two children modeling products that were presumably for sale. The products all appear to be yellow which contrasted the white / grey website theming style.

The company motto was something like ""sustainable fashion for all""",6.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,6.0,4.0,False
415,34,2,5s,111.0,Icare,"Eyewear - glasses, contacts etc",One? But I'm not sure.,"The page had 3 main focuses about sunglasses, glasses and contacts as the middle-of-page links. It had a blue and white theming style with a company logo at the top left.

The site was clean and not too busy with features. ",6.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,4.0,False
416,34,3,5s,90.0,Hillsport,Outdoors wear and gear,I don't know,"It had a blue-ish theming colour and had a big picture of a snow leopard on the screen.

There was a horizontal top bar containing links to various products sections and a largely clean, professional theme",5.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,False
417,34,4,5s,100.0,Weathery,It gives weather forecasts,Thursday,"It had a white and light blue theming with weather reports spanning from Thursday to tuesday.

The page was relatively clean and not too busy - it was largely easy to read and digest.",6.0,4.0,6.0,4.0,6.0,4.0,3.0,5.0,6.0,3.0,False
418,34,5,5s,89.0,Megazoo,Animal / pet supplies,I can't remember,"It had a company logo at the top and various animal food products presented across the page-middle.

The colour scheme was white and brown, I think.",3.0,2.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,False
419,34,6,5s,125.0,Techlive,It appears to provide tech news and information,The background was largely white; I can't remember what the dominant picture was. Maybe a satelite dish?,"It had a mainly black and white theming with clean links scattered across the page. The right side had a distinct section, something like ""Most read"", and the site largely contained news about the tech industry.",5.0,5.0,5.0,4.0,6.0,5.0,3.0,5.0,5.0,4.0,False
420,37,1,5s,235.0,whistles,Clothes for men women and children,dont know,"There was a round logo at the top left, three boxes across the centre, one with a picture of a man, one with a picture of a woman, and one with a picture of a child. The overall effect was of pastel shades",7.0,7.0,6.0,5.0,7.0,6.0,4.0,5.0,6.0,4.0,True
421,37,2,5s,291.0,Icare,"Glasses, contact lenses and sunglasses",1,"Logo in blue, three boxes, with colourful photographs indicating they sell glasses, contact lenses, and sunglasses, The contact lens box had a close-up of someone putting a contact lens in, the sunglasses box showed someone wearing sunglasses, and the glasses box showed some people wearing glasses. ",7.0,7.0,7.0,6.0,6.0,7.0,5.0,7.0,7.0,6.0,False
422,37,3,5s,183.0,Hillsport,"Bags, running gear, equipment",no idea,"Logo, big cat of some sort, four squares across the bottom with items.",2.0,6.0,6.0,4.0,5.0,5.0,4.0,5.0,6.0,4.0,False
423,37,4,5s,168.0,Weathery,Gives weather forcasts,Thursday,"Primarily blue and white, there was a box showing a weather map with symbols for rain across it, a box indicating the day the weather forecast was for, an orange box saying where will it rain.",6.0,4.0,7.0,4.0,7.0,4.0,4.0,7.0,7.0,4.0,False
424,37,5,5s,220.0,Megazoo,Petfood?,no idea,"Red logo, pictures of what seemed to be pet food, big red circle with 60 minutes written in it.",2.0,2.0,6.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,False
425,37,6,5s,185.0,Techlive,no idea,a building,"There were lots of boxes with photos, one with a woman looking shocked with her mouth open, ariels, buildings ",1.0,1.0,2.0,4.0,7.0,4.0,2.0,4.0,2.0,2.0,False
426,39,1,5s,166.0,Sustainable fashion,Clothes ,sheep,"Man, Woman, Boy Girl In yellow and neutral clothes, all sustainable ",6.0,5.0,6.0,5.0,5.0,4.0,3.0,6.0,7.0,5.0,False
427,39,2,5s,152.0,I-care,glasses,2,"very colourful, bright sunny skies mum with children wearing sunglasses",6.0,6.0,7.0,6.0,5.0,6.0,5.0,7.0,6.0,6.0,False
428,39,3,5s,140.0,Hill sport,sports clothing foot ware ,2020 summer/fall,"very clear, wild cat on with male and female hikers on ",6.0,6.0,6.0,6.0,6.0,6.0,5.0,7.0,6.0,6.0,False
429,39,4,5s,167.0,Weatherby ,weather page,Thursday,"weather for the up and coming days, bright, blues white clouds",5.0,6.0,7.0,5.0,6.0,5.0,5.0,7.0,6.0,5.0,False
430,39,5,5s,187.0,Mega zoo,Animal feed,not sure,"Lots of different products and lots of writing, colourful and animals",2.0,4.0,4.0,3.0,5.0,2.0,3.0,2.0,3.0,4.0,False
431,39,6,5s,203.0,Tech live,industry news,a huge factory premises ,"Very VERY busy, lots of writing did not know where to look or focus on",1.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,1.0,3.0,False
432,40,1,5s,206.0,Whistles,Substainable clothing for the whole family,I don't remember. I looked around the site to get a general impression and the main thing I came away with was that this was for the whole family (due to the differing age groups and genders represented in the pictures.),"I saw various models from children to men and women of differing age groups (but to me they felt more on the younger side.) I saw various clothes being worn and various colours. All the models seemed upbeat and the clothes felt cheerful and current with bright, primary colours.",7.0,5.0,6.0,5.0,7.0,5.0,2.0,3.0,7.0,2.0,False
433,40,2,5s,200.0,I-care,"Sunglasses, reading glasses, contact lenses",I'm not sure but I think 1 (on the adults shoulders.),"It was a very beach orientated scene from what I can remember. Bright, positive everyone smiling. Their was sand and water. Adults and children. Some wearing glasses some sunglasses. People seemed to be wearing bright colours/ and one of the adults a sports type shirt. All felt cheerful and positve. The general feel of the beach background was nice also more in feel it projected than the image as such.",7.0,6.0,7.0,6.0,7.0,6.0,5.0,6.0,7.0,5.0,False
434,40,3,5s,204.0,I didn't see I focused to much on the lovely picture of the snow leopard!,From what I could gather sports apparell. I wouldn't have been sure but I saw the word clothing and running.,I didn't see this.,"I remember a lovely picture of a snow leopard which seemed to dominate the main part of the webpage with images and text around it. Then there seemed to be a horizontal line of pictures at the bottom. These seemed to be very nature based and the who feel of the site felt very nature based. It seemed to have scenic picture of contrasting colours (forests, water etc) but I could be wrong. The whole feel felt very ""outdoorsy""",6.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,False
435,40,4,5s,204.0,Weathery,"I believe the website provides detailed global weather forcasts and breakdowns of such (temperatures, rain, fog etc.)",I didn't see.,It was mainly graphics as opposed to real world based images. It was very blue in terms of colour pallete with touches of gold. It had a lot of text but this was well dispersed with the graphics and felt needed to compliment the graphics. There was a lot of use of practical icons to represent weather umbrellas and clouds etc. It felt very detailed.,3.0,5.0,7.0,5.0,7.0,6.0,5.0,6.0,5.0,5.0,True
436,40,5,5s,320.0,Mega Zoo,I am not particularly sure but I think it was pet food for animals. It didn't feel overly clear but I got the impression of fun packaged food for differing pet types. It felts to be a site that was (in a good way) based on style as much as product. It was interesting and I wanted to find out more.,I think it was paw prints. It (as best as I can remember) was a white and gold box with black pawprints.,"I felt it had lots of picture of cardboard type boxed, well designed of white and gold with black pawprints. It felt like it represented a lot of different animals but that it was a fun product for pets. It felt to be a site aimed at children it felt busy but fun and well organised. I struggle to remember specifics from a short view and have to go more by general impressions.",3.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,False
437,40,6,5s,267.0,Tech Live,"I think it was an information website providing stories, reviews, opinion peices and general information about and based around the world of tech",I'm not sure I think it was a view of something like a power plant or such but could be wrong. It appeared to be outdoors and industrial in nature but again I could be wrong.,It felt to be made up of a lot of text and was very busy which I'm less keen on. Convuluted is a word I'm thinking of here. There didn't feel to be a lot of white space or seperation. There were pictures (photos of real world items and places as opposed to graphics. There felt to be a randomness and jumble with paragraphs and lists on the same page.,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,False
438,41,1,5s,109.0,Whistles,It sells men's women's and children's clothing.,I can't remember.,"It was simple and attractive with three main pictures and muted colours. The pictures were of a man, woman and child in the company's clothing.",6.0,6.0,6.0,6.0,4.0,5.0,5.0,6.0,6.0,6.0,False
439,41,2,5s,130.0,I-Care,It sells eyewear products - I saw glasses and sunglasses.,I can't remember.,"Blue and white, bright images, not too much text, text about being Summer-ready. A picture of a smiling woman wearing sunglasses.",5.0,4.0,5.0,4.0,6.0,4.0,3.0,4.0,5.0,3.0,False
440,41,3,5s,100.0,Hillsport,I think it sells outdoor gear.,2020 I think,I remember a picture of a leopard and one of some people hiking up a hill. I think the colours were mainly blue and white. There were more pictures towards to bottom - maybe including a backpack.,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,False
441,41,4,5s,91.0,Weathery,It provides weather forecasts,I didn't notice.,A typical weather forecast website with a close-up weather map at the top of the page and a weekly forecast with smaller images towards the bottom. I think there were alerts/updates on the right of the page.,3.0,4.0,5.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,False
442,41,5,5s,83.0,Megazoo,It sells pet-related products.,Maybe a paw print?,It looked quite garish - yellow was a standout colour. I saw links to different animal categories across the top.,3.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,False
443,41,6,5s,95.0,Tech Live,Maybe tech related news?,I'm not sure. I maybe say a construction site and a woman looking at a phone in surprise.,"It was in columns with a lots of small, black text and a few pictures.",1.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,False
444,42,1,5s,159.0,Whistles,Sustainable Fashion,Bear,A website selling sustainable fashion.,4.0,4.0,4.0,4.0,7.0,5.0,4.0,4.0,4.0,4.0,False
445,42,2,5s,123.0,I Care,Eye wear,Two,A website selling eyewear for the entire family,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False
446,42,3,5s,129.0,Hill Sport,Outdoor Apparel,A leopard,A website selling outdoor clothing,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,False
447,42,4,5s,156.0,Weathery,Weather information,Sunday,A website detailing the daily weather,5.0,5.0,5.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,False
448,42,5,5s,166.0,Mega Zoo,Animal feeds,Mega Zoo,Selling animal feeds,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False
449,42,6,5s,138.0,Tech Live,Alternative power,Alternative Power source,A website promoting alternative power,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,False
450,43,1,5s,345.0,Whistles ,"sustainable clothing for men, women and children",badger/hedgehog (not sure),"the company logo was on the top left. The message on the wesbite is SUSTAINABLE FASHION FOR EVERYONE with a girl wearing a yellow t-shirt. Underneath there is are pictures of a man, woman and kid each with their respective product such as Men's product. ",6.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,5.0,False
451,43,2,5s,134.0,i -care ,not very clear but maybe summer and holiday items?,2,"the main image had 2 kids and 2 adults with the question, Ready for vacation on the right hand side. Underneath the main image there was an option for sport glasses, sunglasses and contact lenses. ",3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,False
452,43,3,5s,224.0,hillsport ,sport equipment specifically for outdoor sports such as hiking and winter sports,2020,"the main image was of a mountain lion and runners going up a mountain with the message ""NEW COLLECTION 2020"" on the right hand side. Underneath this promotion there were categories such as clothes, footwear, and running. ",7.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,False
453,43,4,5s,281.0,Weathery,Provides information on the weather in Prague. The main image had the forecast for the day and on the right hand there was the forecast for the day . ,thursday,the top of the page had a search bar. the main image was a picture of the weather currently in prague with the date above it and the forecast for the rest of the week below the image. there was weather articles on the right hand side and the first article was about icebergs disappearing. ,5.0,4.0,6.0,4.0,5.0,4.0,4.0,5.0,6.0,4.0,False
454,43,5,5s,225.0,mega zoo,"pet items such as toys, food and sand","paw prints, bones and leaves?","the mega zoo logo is on the top left. underneath this there is a large yellow and black banner that said ""pick up at our branch office or online"" there were items underneath such as a cat water fountain  and a water pump",5.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,False
455,43,6,5s,302.0,tech live,"news about energy, living costs, governments, sports",It looked like a battery farm but I am not sure if this is the correct term. It looks like it is in a remote location with a turbine in the background,"At the top of the page there were different categories to choose from such as mobile mania, security, reviews, video and transport of the future. on the right hand side there was the most read news articles and on the left there was the daily updates? The middle has the new articles",4.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,2.0,False
456,44,1,5s,130.0,whistles,"a clothing website for men ,woman and children",didnt see,"website with with a man,woman and child wearing clothing for sale",7.0,7.0,7.0,7.0,4.0,6.0,6.0,6.0,6.0,5.0,False
457,44,2,5s,108.0,icare,glasses and contacts,dont know,saw ads for glasses and contacts with a woman wearing glasses,7.0,7.0,7.0,7.0,2.0,7.0,7.0,7.0,7.0,7.0,False
458,44,3,5s,184.0,hill sport,its selling outdoor wear,dont know,"two mens running up a hill, and a big lion. also ads for footwear and out door clothing",6.0,7.0,6.0,6.0,4.0,6.0,6.0,6.0,5.0,6.0,False
459,44,4,5s,129.0,weathery,just looks like a weather page,dont know,a weather page showing a few days of rain,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False
460,44,5,5s,157.0,mega zoo,pet items,dont know,it had different items on sale,3.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,False
461,44,6,5s,238.0,tech live,not sure,i saw a holding something in her hand and was looking in amazment. there was also alot of small writing,"it was confusing to see what it was selling , obviously to do with tech but the writing was very small and there was alot crammed in",1.0,2.0,1.0,4.0,1.0,4.0,4.0,2.0,1.0,4.0,False
462,45,1,5s,46.0,whistles,clothing,hedgehog,cute clothing ,7.0,6.0,7.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,False
463,45,2,5s,53.0,icare,eyesight,2,"different glasses, contact lenses",5.0,5.0,6.0,3.0,5.0,2.0,4.0,5.0,5.0,3.0,False
464,45,3,5s,79.0,hilsport,mountain gear,2020,"snowlepoard
different types of items for sale",5.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,False
465,45,4,5s,54.0,weathery,weather forecast,thursday,"images, colours, information",6.0,5.0,7.0,5.0,7.0,4.0,4.0,4.0,6.0,4.0,False
466,45,5,5s,81.0,megazoo,animal accessories and food,can't remember,variety of animals which I'm guessing you can then buy for?,5.0,5.0,5.0,4.0,6.0,4.0,4.0,6.0,6.0,5.0,False
467,45,6,5s,74.0,techlive,information on technology,batteries,"lots of information in columns
articles
wordy",2.0,2.0,4.0,4.0,5.0,4.0,2.0,2.0,2.0,1.0,False
468,46,1,5s,95.0,whistles,they sell clothes,dog,I first saw a child model on the front page with a sign of the price next to them. then saw that they also offered men and women clothing aswell,7.0,7.0,6.0,7.0,5.0,5.0,5.0,6.0,7.0,6.0,False
469,46,2,5s,171.0,I-care,,2,I saw a bright and vibrant web-page which made me thing that the website sells some kind of holiday packages for family or sell clothes and accessories for holidays. I saw a slogan that said ready for vacation but did not end up concluding on what they sell.,6.0,7.0,5.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,False
470,46,3,5s,143.0,New collection,hiking and sport clothing,,I saw an animal that looked like a white jaguar and i saw that they offered different types of clothing. Not much i could have retained from that website.,6.0,3.0,6.0,3.0,6.0,4.0,3.0,5.0,6.0,5.0,False
471,46,4,5s,144.0,weathery,the website shows the weather and forecast ,,The first thing i saw was the graphic in the middle of the different weather forecasts and then looked up at the name of the website,6.0,2.0,5.0,2.0,6.0,2.0,3.0,4.0,6.0,2.0,False
472,46,5,5s,140.0,zoofood,pet accessories ,,It was quite hard to figure out what the company was selling as there was no clear indication of what they are selling. I had to read the items they sell to get a good picture of what they could potentially sell.,6.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,False
473,46,6,5s,181.0,Tech-live,They provide news articles,The background looked like a picture of a manufacturing building ,The was looked like a typical news page with one big headline and several sub news articles with exaggerated thumbnails. I liked the simplicity but typical. I would only read to catch up on mutual interested topics but would not go out of my way to continue reading other articles as it looks boring.,7.0,4.0,5.0,4.0,5.0,3.0,3.0,5.0,6.0,4.0,False
474,47,1,5s,85.0,whistles,clothes for kids and adults,no idea,website for selling clothes for adults and children,5.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,False
475,47,2,5s,134.0,i care,travel sunglasses and wear,2,"simple,  a family picture, sunglasses for sale",6.0,5.0,6.0,5.0,6.0,5.0,3.0,5.0,5.0,4.0,False
476,47,3,5s,139.0,hillwear,mountaineering gear,no idea,"a pic of an animal, clothes and boots for sale for trekking ",5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,False
477,47,4,5s,86.0,weathery,weather forecast,no idea,"weather forecast website, national and international",3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,False
478,47,5,5s,110.0,mega zoo,products for animals,no idea,selling products for animals/pets,4.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,False
479,47,6,5s,65.0,tech live,news,no idea,news webpage,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,False
480,48,1,5s,78.0,Whistles,Sustainable fashion,unknown,"Lovely and clear - not too much information and nice, simple design.",7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,False
481,48,2,5s,74.0,I-Care,"sunglasses, glasses, contact lenses",one,Another fairly clear website design,6.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,4.0,5.0,False
482,48,3,5s,73.0,Unknown,Sports gear,Unknown,Cheetah and a very handsome one at that,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,False
483,48,4,5s,89.0,Weathery,Weather forecasts,unknown,A pleasant looking weather forecast website,7.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,False
484,48,5,5s,79.0,Mega-zoo,Unclear in 5 seconds,unknown,Much too busy.....too much information to take in at just a glance,2.0,1.0,4.0,2.0,4.0,2.0,3.0,3.0,1.0,2.0,False
485,48,6,5s,85.0,Tech-Live,Technical specs,unclear,"Again, far too much information to process in 5 seconds",1.0,5.0,4.0,5.0,6.0,7.0,5.0,5.0,2.0,4.0,False
486,2,1,10s,70.0,Whistles,Sustainable fashion,Don't know,"Mens, womens and childrens clothing",5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,3.0,False
487,2,2,10s,85.0,I-Care,Gkasses,Don't know,"Sunglassess, prescription glasses",6.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,False
488,2,3,10s,82.0,Hill sport,Outdoor clothing and accessories,Can't recall,I can't remember anything except a picture of a tiger?,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,False
489,2,4,10s,244.0,Weathery,Weather forecasts,Don't know,Weather forecasts,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,True
490,2,5,10s,67.0,Mega zoo,Pet products,Paw prints,Pet products for sale,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,False
491,2,6,10s,65.0,Tech live,News articles,Don't know,Can't remember,2.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,False
492,3,1,10s,89.0,whistles,sustainable clothing,hedgehog,"not much detail, pictures mainly took over page",6.0,6.0,7.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,False
493,3,2,10s,71.0,dont know,glasses or contact lenses,2,"looking at holidays and making sure you are covered with your glasses, sunglasses or contacts",5.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,3.0,False
494,3,3,10s,60.0,dont know,not sure,fdont know,dont remember a lot from the information given,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,False
